codigo_docente,nome_docente
1119925,Flávia Mori Sarti
1558501,Marislei Nishijima
6000623,Silvio Yoshiro Mizuguchi Miyazaki
191432,Eduardo de Lima Caldas
885940,Jose Carlos Vaz
2945554,Glauber Eduardo de Oliveira Santos
479262,Agnaldo Valentin
3031417,André Gal Mountian
1119925,Flávia Mori Sarti
161192,Beatriz Aparecida Ozello Gutierrez
2160326,Rosa Yuka Sato Chubaci
2168766,Carlos de Brito Pereira
1252362,Paulo Antonio de Almeida Sinisgalli
2184420,Luciane Meneguin Ortega Vidal
1597012,Marcos Bernardino de Carvalho
2050208,Rosely Aparecida Liguori Imbernon
7317228,Claudia Medeiros de Castro
5997291,Elizabete Franco Cruz
2796301,Jacqueline Isaac Machado Brigagão
1112111,Jaime Crozatti
5268620,Meire Cachioni
7028358,Cynthia Harumy Watanabe Correa
4966179,Juliana Pedreschi Rodrigues
1112111,Jaime Crozatti
6743581,Ursula Dias Peres
5530115,George Bedinelli Rossi
5530115,George Bedinelli Rossi
627660,Alexandre Toshiro Igari
1882514,Sylmara Lopes Francelino Gonçalves Dias
5981856,Valéria Cazetta
196611,Adriana Pedrosa Biscaia Tufaile
106172,Alberto Tufaile
2341766,Carlos Molina Mendes
2872716,Diego Antonio Falceta Gonçalves
1538519,Patricia Targon Campana
3164916,Tiago Mauricio Francoy
2558886,Dib Karam Junior
574881,Ana Paula Curi
2319983,Maria Luisa Trindade Bestetti
2184420,Luciane Meneguin Ortega Vidal
2872716,Diego Antonio Falceta Gonçalves
2184420,Luciane Meneguin Ortega Vidal
6630800,Eutimio Gustavo Fernández Núñez
3021642,Felipe Santiago Chambergo Alcalde
6630800,Eutimio Gustavo Fernández Núñez
3021642,Felipe Santiago Chambergo Alcalde
3286158,Daniel de Angelis Cordeiro
5057080,Marcelo Medeiros Eler
3399922,Marcos Lordello Chaim
5978942,Sarajane Marques Peres
3021642,Felipe Santiago Chambergo Alcalde
799735,Luiz Paulo Moura Andrioli
3164916,Tiago Mauricio Francoy
2166145,Antonio Takao Kanamaru
463504,Celi Rodrigues Chaves Dominguez
1645572,Maria Eliza Mattosinho Bernardes
4880153,Verónica Marcela Guridi
463504,Celi Rodrigues Chaves Dominguez
4880153,Verónica Marcela Guridi
723639,Luiz Gonzaga Godoi Trigo
556504,Andrea Lopes
556504,Andrea Lopes
5976982,Deusivania Vieira da Silva Falcão
1554146,Mônica Sanches Yassuda
5042952,Marlise de Oliveira Pimentel Lima
314719,Ângela Maria Machado de Lima Hutchison
2546570,Alex Antonio Florindo
655501,Andrea Viude Castanho
2340063,Helene Mariko Ueno
3785714,Alexandre Panosso Netto
2166145,Antonio Takao Kanamaru
1980660,Rita de Cássia Giraldi
5090244,Carlos Bandeira de Mello Monteiro
1791624,Reury Frank Pereira Bacurau
2342260,Marcelo Massa
3396220,Alessandro Hervaldo Nicolai Ré
